,Country,CountryCode,Province,City,CityCode,Lat,Lon,Cases,Status,Date
112,South Africa,ZA,,,,-30.56,22.94,12074,confirmed,2020-05-13 00:00:00+00:00
113,South Africa,ZA,,,,-30.56,22.94,12739,confirmed,2020-05-14 00:00:00+00:00
114,South Africa,ZA,,,,-30.56,22.94,13524,confirmed,2020-05-15 00:00:00+00:00
115,South Africa,ZA,,,,-30.56,22.94,14355,confirmed,2020-05-16 00:00:00+00:00
116,South Africa,ZA,,,,-30.56,22.94,15515,confirmed,2020-05-17 00:00:00+00:00
117,South Africa,ZA,,,,-30.56,22.94,16433,confirmed,2020-05-18 00:00:00+00:00
118,South Africa,ZA,,,,-30.56,22.94,17200,confirmed,2020-05-19 00:00:00+00:00
119,South Africa,ZA,,,,-30.56,22.94,18003,confirmed,2020-05-20 00:00:00+00:00
120,South Africa,ZA,,,,-30.56,22.94,19137,confirmed,2020-05-21 00:00:00+00:00
121,South Africa,ZA,,,,-30.56,22.94,20125,confirmed,2020-05-22 00:00:00+00:00
122,South Africa,ZA,,,,-30.56,22.94,21343,confirmed,2020-05-23 00:00:00+00:00
123,South Africa,ZA,,,,-30.56,22.94,22583,confirmed,2020-05-24 00:00:00+00:00
124,South Africa,ZA,,,,-30.56,22.94,23615,confirmed,2020-05-25 00:00:00+00:00
125,South Africa,ZA,,,,-30.56,22.94,24264,confirmed,2020-05-26 00:00:00+00:00
126,South Africa,ZA,,,,-30.56,22.94,25937,confirmed,2020-05-27 00:00:00+00:00
127,South Africa,ZA,,,,-30.56,22.94,27403,confirmed,2020-05-28 00:00:00+00:00
128,South Africa,ZA,,,,-30.56,22.94,29240,confirmed,2020-05-29 00:00:00+00:00
129,South Africa,ZA,,,,-30.56,22.94,30967,confirmed,2020-05-30 00:00:00+00:00
130,South Africa,ZA,,,,-30.56,22.94,32683,confirmed,2020-05-31 00:00:00+00:00
131,South Africa,ZA,,,,-30.56,22.94,34357,confirmed,2020-06-01 00:00:00+00:00
132,South Africa,ZA,,,,-30.56,22.94,35812,confirmed,2020-06-02 00:00:00+00:00
133,South Africa,ZA,,,,-30.56,22.94,37525,confirmed,2020-06-03 00:00:00+00:00
134,South Africa,ZA,,,,-30.56,22.94,40792,confirmed,2020-06-04 00:00:00+00:00
135,South Africa,ZA,,,,-30.56,22.94,43434,confirmed,2020-06-05 00:00:00+00:00
136,South Africa,ZA,,,,-30.56,22.94,45973,confirmed,2020-06-06 00:00:00+00:00
137,South Africa,ZA,,,,-30.56,22.94,48285,confirmed,2020-06-07 00:00:00+00:00
138,South Africa,ZA,,,,-30.56,22.94,50879,confirmed,2020-06-08 00:00:00+00:00
139,South Africa,ZA,,,,-30.56,22.94,52991,confirmed,2020-06-09 00:00:00+00:00
140,South Africa,ZA,,,,-30.56,22.94,55421,confirmed,2020-06-10 00:00:00+00:00
141,South Africa,ZA,,,,-30.56,22.94,58568,confirmed,2020-06-11 00:00:00+00:00
